AÑ;TRIMESTRE;PROVEEDOR;COD DEPARTAMENTO;DEPARTAMENTO;COD MUNICIPIO;MUNICIPIO;CABECERA MUNICIPAL;COD CENTRO POBLADO;CENTRO POBLADO;COBERTURA 2G;COBERTURA 3G;COBERTURA HSPA+, HSPA+DC;COBERTUTA 4G;COBERTURA LTE;COBERTURA 5G
2021;2;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8421;LURUACO;N;8421005;SANTA CRUZ;S;S;S;S;N;N
2022;3;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8520;PALMAR DE VARELA;S;8520000;PALMAR DE VARELA;S;S;S;S;N;N
2023;3;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8638;SABANALARGA;S;8638000;SABANALARGA;N;S;S;S;N;N
2022;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13052;ARJONA;N;13052004;SINCERÍ;S;S;S;N;N;N
2022;2;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13442;MARÍA LA BAJ;S;13442000;MARÍA LA BAJ;S;S;S;S;N;N
2021;4;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13667;SAN MARTÍN DE LOB;N;13667009;PAPAYAL;N;N;N;S;N;N
2021;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001009;PASACABALLOS;S;S;S;N;S;N
2023;2;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13458;MONTECRISTO;S;13458000;MONTECRISTO;N;S;S;S;N;N
2022;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13188;CICUCO;S;13188000;CICUCO;S;S;S;S;N;N
2021;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13650;SAN FERNANDO;N;13650002;MENCHIQUEJO;S;S;N;N;N;N
2021;3;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13074;BARRANCO DE LOBA;S;13074000;BARRANCO DE LOBA;N;S;S;N;N;N
2021;4;PARTNERS TELECOM COLOMBIA SAS;8;ATLÁNTIC;8520;PALMAR DE VARELA;S;8520000;PALMAR DE VARELA;N;S;S;S;N;N
2022;3;PARTNERS TELECOM COLOMBIA SAS;13;BOLÍVA;13440;MARGARITA;S;13440000;MARGARITA;N;S;S;S;N;N
2021;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13062;ARROYOHONDO;N;13062001;MACHADO;S;S;N;N;N;N
